,director_name,director_facebook_likes,actor_name,actor_facbook_likes,movie_title,title_year,movie_facebook_likes,num_voted_users,cast_total_facebook_likes,movie_imdb_link,language,country,content_rating,imdb_score,aspect_ratio,Release.Date.new,release.year.new,budget.adjusted,domestic.gross.adjusted,worldwide.new.adjusted,genreLabelName
0,James Cameron,0,CCH Pounder,1000,Avatar,2009,33000,886204,4834,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,English,USA,PG-13,7.9,1.78,2009-12-18 00:00:00,2009,546797485,978455662.8,3581740936,Action Adventure
1,James Cameron,0,Joel David Moore,936,Avatar,2009,33000,886204,4834,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,English,USA,PG-13,7.9,1.78,2009-12-18 00:00:00,2009,546797485,978455662.8,3581740936,Action Adventure
2,James Cameron,0,Wes Studi,855,Avatar,2009,33000,886204,4834,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,English,USA,PG-13,7.9,1.78,2009-12-18 00:00:00,2009,546797485,978455662.8,3581740936,Action Adventure
3,Gore Verbinski,563,Johnny Depp,40000,PiratesoftheCaribbeanAtWorldsEnd,2007,0,471220,48350,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,English,USA,PG-13,7.1,2.35,2007-05-24 00:00:00,2007,411072313.9,423980566.9,1320118211,Action Adventure
4,Gore Verbinski,563,Orlando Bloom,5000,PiratesoftheCaribbeanAtWorldsEnd,2007,0,471220,48350,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,English,USA,PG-13,7.1,2.35,2007-05-24 00:00:00,2007,411072313.9,423980566.9,1320118211,Action Adventure
5,Gore Verbinski,563,Jack Davenport,1000,PiratesoftheCaribbeanAtWorldsEnd,2007,0,471220,48350,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,English,USA,PG-13,7.1,2.35,2007-05-24 00:00:00,2007,411072313.9,423980566.9,1320118211,Action Adventure
6,Sam Mendes,0,Christoph Waltz,11000,Spectre,2015,85000,275868,11700,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,English,UK,PG-13,6.8,2.35,2015-11-06 00:00:00,2015,319507200,213083798.2,936817393.9,Action Adventure
7,Sam Mendes,0,Rory Kinnear,393,Spectre,2015,85000,275868,11700,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,English,UK,PG-13,6.8,2.35,2015-11-06 00:00:00,2015,319507200,213083798.2,936817393.9,Action Adventure
8,Sam Mendes,0,Stephanie Sigman,161,Spectre,2015,85000,275868,11700,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,English,UK,PG-13,6.8,2.35,2015-11-06 00:00:00,2015,319507200,213083798.2,936817393.9,Action Adventure
9,Christopher Nolan,22000,Tom Hardy,27000,TheDarkKnightRises,2012,164000,1144337,106759,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,English,USA,PG-13,8.5,2.35,2012-07-20 00:00:00,2012,321907563,524579510,1269415082,Thriller Action
10,Christopher Nolan,22000,Christian Bale,23000,TheDarkKnightRises,2012,164000,1144337,106759,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,English,USA,PG-13,8.5,2.35,2012-07-20 00:00:00,2012,321907563,524579510,1269415082,Thriller Action
11,Christopher Nolan,22000,Joseph Gordon-Levitt,23000,TheDarkKnightRises,2012,164000,1144337,106759,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,English,USA,PG-13,8.5,2.35,2012-07-20 00:00:00,2012,321907563,524579510,1269415082,Thriller Action
12,Andrew Stanton,475,Daryl Sabara,640,JohnCarter,2012,24000,212204,1873,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,English,USA,PG-13,6.6,2.35,2012-03-09 00:00:00,2012,321907563,85520513.87,331012396.5,Action Adventure
13,Andrew Stanton,475,Samantha Morton,631,JohnCarter,2012,24000,212204,1873,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,English,USA,PG-13,6.6,2.35,2012-03-09 00:00:00,2012,321907563,85520513.87,331012396.5,Action Adventure
14,Andrew Stanton,475,Polly Walker,530,JohnCarter,2012,24000,212204,1873,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,English,USA,PG-13,6.6,2.35,2012-03-09 00:00:00,2012,321907563,85520513.87,331012396.5,Action Adventure
15,Sam Raimi,0,J.K. Simmons,24000,SpiderMan,2007,0,383056,46055,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,USA,PG-13,6.2,2.35,2007-05-04 00:00:00,2007,353522190,461127634.5,1220713907,Action Adventure
16,Sam Raimi,0,James Franco,11000,SpiderMan,2007,0,383056,46055,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,USA,PG-13,6.2,2.35,2007-05-04 00:00:00,2007,353522190,461127634.5,1220713907,Action Adventure
17,Sam Raimi,0,Kirsten Dunst,4000,SpiderMan,2007,0,383056,46055,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,USA,PG-13,6.2,2.35,2007-05-04 00:00:00,2007,353522190,461127634.5,1220713907,Action Adventure
18,Nathan Greno,15,Brad Garrett,799,Tangled,2010,29000,294810,2036,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,English,USA,PG,7.8,1.85,2010-11-24 00:00:00,2010,324138956,250362356.5,731284832.1,Animation
19,Nathan Greno,15,Donna Murphy,553,Tangled,2010,29000,294810,2036,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,English,USA,PG,7.8,1.85,2010-11-24 00:00:00,2010,324138956,250362356.5,731284832.1,Animation
20,Nathan Greno,15,M.C. Gainey,284,Tangled,2010,29000,294810,2036,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,English,USA,PG,7.8,1.85,2010-11-24 00:00:00,2010,324138956,250362356.5,731284832.1,Animation
21,Joss Whedon,0,Chris Hemsworth,26000,AvengersAgeofUltron,2015,118000,462669,92000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,English,USA,PG-13,7.5,2.35,2015-05-01 00:00:00,2015,266256000,488852265.6,1496045462,Action Adventure
22,Joss Whedon,0,Robert Downey Jr.,21000,AvengersAgeofUltron,2015,118000,462669,92000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,English,USA,PG-13,7.5,2.35,2015-05-01 00:00:00,2015,266256000,488852265.6,1496045462,Action Adventure
23,Joss Whedon,0,Scarlett Johansson,19000,AvengersAgeofUltron,2015,118000,462669,92000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,English,USA,PG-13,7.5,2.35,2015-05-01 00:00:00,2015,266256000,488852265.6,1496045462,Action Adventure
24,David Yates,282,Alan Rickman,25000,HarryPotterandtheHalfBloodPrince,2009,10000,321795,58753,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,English,UK,PG,7.5,2.35,2009-07-15 00:00:00,2009,321645579.4,388495363.5,1203062136,Family
25,David Yates,282,Daniel Radcliffe,11000,HarryPotterandtheHalfBloodPrince,2009,10000,321795,58753,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,English,UK,PG,7.5,2.35,2009-07-15 00:00:00,2009,321645579.4,388495363.5,1203062136,Family
26,David Yates,282,Rupert Grint,10000,HarryPotterandtheHalfBloodPrince,2009,10000,321795,58753,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,English,UK,PG,7.5,2.35,2009-07-15 00:00:00,2009,321645579.4,388495363.5,1203062136,Family
27,Zack Snyder,0,Henry Cavill,15000,BatmanvSupermanDawnofJustice,2016,197000,371639,24450,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,English,USA,PG-13,6.9,2.35,2016-03-25 00:00:00,2016,258000000,340931720.2,895941320.2,Action Adventure
28,Zack Snyder,0,Lauren Cohan,4000,BatmanvSupermanDawnofJustice,2016,197000,371639,24450,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,English,USA,PG-13,6.9,2.35,2016-03-25 00:00:00,2016,258000000,340931720.2,895941320.2,Action Adventure
29,Zack Snyder,0,Alan D. Purwin,2000,BatmanvSupermanDawnofJustice,2016,197000,371639,24450,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,English,USA,PG-13,6.9,2.35,2016-03-25 00:00:00,2016,258000000,340931720.2,895941320.2,Action Adventure
30,Bryan Singer,0,Kevin Spacey,18000,SupermanReturns,2006,0,240396,29991,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,English,USA,PG-13,6.1,2.35,2006-06-28 00:00:00,2006,328068592.3,282987442.6,528989485.6,Action Adventure
31,Bryan Singer,0,Marlon Brando,10000,SupermanReturns,2006,0,240396,29991,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,English,USA,PG-13,6.1,2.35,2006-06-28 00:00:00,2006,328068592.3,282987442.6,528989485.6,Action Adventure
32,Bryan Singer,0,Frank Langella,902,SupermanReturns,2006,0,240396,29991,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,English,USA,PG-13,6.1,2.35,2006-06-28 00:00:00,2006,328068592.3,282987442.6,528989485.6,Action Adventure
33,Marc Forster,395,Giancarlo Giannini,451,QuantumofSolace,2008,0,330784,2023,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,English,UK,PG-13,6.7,2.35,2008-11-14 00:00:00,2008,305383178.9,224879428.9,785620903.2,Action Adventure
34,Marc Forster,395,Mathieu Amalric,412,QuantumofSolace,2008,0,330784,2023,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,English,UK,PG-13,6.7,2.35,2008-11-14 00:00:00,2008,305383178.9,224879428.9,785620903.2,Action Adventure
35,Marc Forster,395,Rory Kinnear,393,QuantumofSolace,2008,0,330784,2023,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,English,UK,PG-13,6.7,2.35,2008-11-14 00:00:00,2008,305383178.9,224879428.9,785620903.2,Action Adventure
36,Gore Verbinski,563,Johnny Depp,40000,PiratesoftheCaribbeanDeadMansChest,2006,5000,522040,48486,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,English,USA,PG-13,7.3,2.35,2006-07-07 00:00:00,2006,318169971,598606131.6,1507723795,Action Adventure
37,Gore Verbinski,563,Orlando Bloom,5000,PiratesoftheCaribbeanDeadMansChest,2006,5000,522040,48486,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,English,USA,PG-13,7.3,2.35,2006-07-07 00:00:00,2006,318169971,598606131.6,1507723795,Action Adventure
38,Gore Verbinski,563,Jack Davenport,1000,PiratesoftheCaribbeanDeadMansChest,2006,5000,522040,48486,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,English,USA,PG-13,7.3,2.35,2006-07-07 00:00:00,2006,318169971,598606131.6,1507723795,Action Adventure
39,Gore Verbinski,563,Johnny Depp,40000,TheLoneRanger,2013,48000,181792,45757,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,English,USA,PG-13,6.5,2.35,2013-07-02 00:00:00,2013,311925933.2,101293256.6,294914190.3,Action Adventure
40,Gore Verbinski,563,Ruth Wilson,2000,TheLoneRanger,2013,48000,181792,45757,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,English,USA,PG-13,6.5,2.35,2013-07-02 00:00:00,2013,311925933.2,101293256.6,294914190.3,Action Adventure
41,Gore Verbinski,563,Tom Wilkinson,1000,TheLoneRanger,2013,48000,181792,45757,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,English,USA,PG-13,6.5,2.35,2013-07-02 00:00:00,2013,311925933.2,101293256.6,294914190.3,Action Adventure
42,Zack Snyder,0,Henry Cavill,15000,ManofSteel,2013,118000,548573,20495,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,English,USA,PG-13,7.2,2.35,2013-06-14 00:00:00,2013,255212127.1,330125981.1,757695901.8,Action Adventure
43,Zack Snyder,0,Christopher Meloni,3000,ManofSteel,2013,118000,548573,20495,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,English,USA,PG-13,7.2,2.35,2013-06-14 00:00:00,2013,255212127.1,330125981.1,757695901.8,Action Adventure
44,Zack Snyder,0,Harry Lennix,748,ManofSteel,2013,118000,548573,20495,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,English,USA,PG-13,7.2,2.35,2013-06-14 00:00:00,2013,255212127.1,330125981.1,757695901.8,Action Adventure
45,Andrew Adamson,80,Peter Dinklage,22000,TheChroniclesofNarniaPrinceCaspian,2008,0,149922,22697,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,English,USA,PG,6.6,2.35,2008-05-16 00:00:00,2008,298744414.2,188038351.4,554126127.1,Family
46,Andrew Adamson,80,Pierfrancesco Favino,216,TheChroniclesofNarniaPrinceCaspian,2008,0,149922,22697,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,English,USA,PG,6.6,2.35,2008-05-16 00:00:00,2008,298744414.2,188038351.4,554126127.1,Family
47,Andrew Adamson,80,DamiÃ¡n AlcÃ¡zar,201,TheChroniclesofNarniaPrinceCaspian,2008,0,149922,22697,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,English,USA,PG,6.6,2.35,2008-05-16 00:00:00,2008,298744414.2,188038351.4,554126127.1,Family
48,Joss Whedon,0,Chris Hemsworth,26000,TheAvengers,2012,123000,995415,87697,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,English,USA,PG-13,8.1,1.85,2012-05-04 00:00:00,2012,263378915.2,729594182,1778661666,Action Adventure
49,Joss Whedon,0,Robert Downey Jr.,21000,TheAvengers,2012,123000,995415,87697,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,English,USA,PG-13,8.1,1.85,2012-05-04 00:00:00,2012,263378915.2,729594182,1778661666,Action Adventure
50,Joss Whedon,0,Scarlett Johansson,19000,TheAvengers,2012,123000,995415,87697,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,English,USA,PG-13,8.1,1.85,2012-05-04 00:00:00,2012,263378915.2,729594182,1778661666,Action Adventure
51,Rob Marshall,252,Johnny Depp,40000,PiratesoftheCaribbeanOnStrangerTides,2011,58000,370704,54083,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,English,USA,PG-13,6.7,2.35,2011-05-20 00:00:00,2011,302007822.8,291212704.1,1263194681,Action Adventure
52,Rob Marshall,252,Sam Claflin,11000,PiratesoftheCaribbeanOnStrangerTides,2011,58000,370704,54083,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,English,USA,PG-13,6.7,2.35,2011-05-20 00:00:00,2011,302007822.8,291212704.1,1263194681,Action Adventure
53,Rob Marshall,252,Stephen Graham,1000,PiratesoftheCaribbeanOnStrangerTides,2011,58000,370704,54083,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,English,USA,PG-13,6.7,2.35,2011-05-20 00:00:00,2011,302007822.8,291212704.1,1263194681,Action Adventure
