"id","movie_count","type"
"Aaron Stanford",3,"Actor"
"Adam Goldberg (Ac)",7,"Actor"
"Adam McKay",6,"Director"
"Adam Sandler",22,"Actor"
"Adam Scott",14,"Actor"
"Adrian Pasdar",1,"Actor"
"Ahney Her",1,"Actor"
"Ajay Naidu",2,"Actor"
"Al Freeman Jr.",1,"Actor"
"Al Pacino",20,"Actor"
"Alan Rickman",10,"Actor"
"Albert Brooks (Ac)",11,"Actor"
"Albert Finney",7,"Actor"
"Albert Maysles",1,"Actor"
"Aleksa Palladino",1,"Actor"
"Alessandra Mastronardi",1,"Actor"
"Alexa Davalos",3,"Actor"
"Alexa PenaVega",10,"Actor"
"Alexandra Maria Lara",3,"Actor"
"Alfre Woodard",13,"Actor"
"Alison Doody",2,"Actor"
"Alison Lohman",6,"Actor"
"Amanda Detmer",3,"Actor"
"Amber Valletta",7,"Actor"
"Amrish Puri",2,"Actor"
"Amy Ryan",3,"Actor"
"Andre Braugher",5,"Actor"
"Andrea Savage",1,"Actor"
"Andrew Bryniarski",2,"Actor"
"Andrew Dice Clay",1,"Actor"
"Andrew Wilson (Ac)",2,"Actor"
"Angelina Jolie Pitt (Ac)",21,"Actor"
"Anjelica Huston",11,"Actor"
"Anna Gunn",1,"Actor"
"Anne Hathaway",20,"Actor"
"Anthony Hopkins",28,"Actor"
"Ariana Richards",4,"Actor"
"Armin Mueller-Stahl",5,"Actor"
"Ato Essandoh",3,"Actor"
"Atticus Shaffer",2,"Actor"
"Audrey Fleurot",1,"Actor"
"Austin Pendleton",5,"Actor"
"Ayelet Zurer",4,"Actor"
"Barbara Hershey",5,"Actor"
"Barry Shabaka Henley",2,"Actor"
"Bella Thorne",5,"Actor"
"Benedict Cumberbatch",10,"Actor"
"Benjamin Walker",2,"Actor"
"Bernadette Peters",3,"Actor"
"Bernie Mac",13,"Actor"
"Bernie Sanders",1,"Actor"
"Betsy Baker",1,"Actor"
"Bill Clinton",3,"Actor"
"Bill Cobbs",12,"Actor"
"Bill Murray",30,"Actor"
"Bill Nunn",3,"Actor"
"Bingbing Li",4,"Actor"
"Bob Balaban",8,"Actor"
"Bob Dylan",1,"Actor"
"Bob Eubanks",1,"Actor"
"Bob Gunton",9,"Actor"
"Bob Hoskins",15,"Actor"
"Bob Peck",1,"Actor"
"Boris Kodjoe",8,"Actor"
"Brad Pitt",32,"Actor"
"Bradley Cooper",17,"Actor"
"Brian O'Halloran",2,"Actor"
"Bridget Fonda",7,"Actor"
